File Name,Vertices,Edges,Randomized,Greedy,Semi-Greedy,Local Search,GRASP Iterations,GRASP Result
g1,800,19176,9597.53,11059,11120,11387,10,11399
g10,800,19176,-93.81,1355,1392,1732,10,1798
g11,800,1600,20.58,436,442,406,10,462
g12,800,1600,-3.54,416,402,406,10,454
g13,800,1600,16.6,460,428,436,10,482
g14,800,4694,2346.66,2856,2933,2926,10,2978
g15,800,4661,2322.48,2828,2923,2895,10,2964
g16,800,4672,2338.88,2828,2919,2912,10,2968
g17,800,4667,2341.5,2862,2928,2899,10,2974
g18,800,4694,31.52,679,786,832,10,866
g19,800,4661,-57.48,614,659,699,10,785
g2,800,19176,9579.52,11046,11098,11345,10,11430
g20,800,4672,-19.7,587,713,757,10,823
g21,800,4667,-36.86,589,631,778,10,824
g22,2000,19990,9987.55,12390,12730,12805,10,12977
g23,2000,19990,9989.58,12325,12672,12742,10,12985
g24,2000,19990,9990.8,12330,12612,12804,10,12972
g25,2000,19990,9998.28,12342,12751,12752,10,12967
g26,2000,19990,9991.24,12343,12709,12733,10,12941
g27,2000,19990,-15.45,2399,2408,2852,10,2869
g28,2000,19990,-54.7,2337,2337,2752,10,2869
g29,2000,19990,40.36,2456,2480,2858,10,2933
g3,800,19176,9585.78,10971,11157,11283,10,11425
g30,2000,19990,61.38,2386,2488,2842,10,2916
g31,2000,19990,-41.38,2243,2290,2760,10,2890
g32,2000,4000,5.5,1084,1072,1026,10,1158
g33,2000,4000,-12.8,1014,980,1032,10,1098
g34,2000,4000,-28.22,1016,998,1012,10,1106
g35,2000,11778,5888.87,7174,7389,7363,10,7461
g36,2000,11766,5880.12,7180,7333,7342,10,7470
g37,2000,11785,5886.74,7150,7412,7321,10,7461
g38,2000,11779,5888.47,7198,7355,7326,10,7464
g39,2000,11778,19.65,1718,1682,2014,10,2073
g4,800,19176,9592.18,11044,11109,11386,10,11439
g40,2000,11766,-52.52,1623,1685,1959,10,2072
g41,2000,11785,-7.72,1621,1746,2005,10,2082
g42,2000,11779,52.63,1728,1838,2068,10,2156
g43,1000,9990,4998.57,6192,6306,6370,10,6486
g44,1000,9990,4990.43,6153,6291,6307,10,6459
g45,1000,9990,5001.38,6186,6369,6368,10,6468
g46,1000,9990,4997.86,6224,6334,6452,10,6476
g47,1000,9990,5005.75,6194,6351,6375,10,6494
g48,3000,6000,2999.74,6000,5838,4836,10,5904
g49,3000,6000,2997.12,5800,5776,4874,10,5924
g5,800,19176,9582.55,11058,11151,11292,10,11422
g50,3000,6000,2992.9,5880,5778,4912,10,5816
g51,1000,5909,2953.16,3589,3685,3673,10,3749
g52,1000,5916,2955.75,3623,3715,3681,10,3747
g53,1000,5914,2965.19,3618,3685,3657,10,3759
g54,1000,5916,2956.05,3621,3689,3680,10,3743
g6,800,19176,65.39,1519,1649,1929,10,1959
g7,800,19176,-71.92,1423,1543,1716,10,1783
g8,800,19176,-72.66,1334,1466,1738,10,1853
g9,800,19176,-32.64,1417,1536,1820,10,1813
