Name,|V|,|E|,Simple local Iteration,LS Avg Value
G1,800,19176,10,11336.3
G10,800,19176,10,1717.6
G11,800,1600,10,416.6
G12,800,1600,10,411.4
G13,800,1600,10,428.4
G14,800,4694,10,2917.7
G15,800,4661,10,2898.5
G16,800,4672,10,2903.3
G17,800,4667,10,2909.5
G18,800,4694,10,815.1
G19,800,4661,10,726.1
G2,800,19176,10,11349.3
G20,800,4672,10,755
G21,800,4667,10,758.4
G22,2000,19990,10,12785.7
G23,2000,19990,10,12788.3
G24,2000,19990,10,12790.9
G25,2000,19990,10,12779.5
G26,2000,19990,10,12804
G27,2000,19990,10,2803.4
G28,2000,19990,10,2734.8
G29,2000,19990,10,2865.3
G3,800,19176,10,11326
G30,2000,19990,10,2830.8
G31,2000,19990,10,2762.2
G32,2000,4000,10,1025
G33,2000,4000,10,996.4
G34,2000,4000,10,1002.6
G35,2000,11778,10,7311.7
G36,2000,11766,10,7313.6
G37,2000,11785,10,7327.6
G38,2000,11779,10,7318.4
G39,2000,11778,10,1976.5
G4,800,19176,10,11344.2
G40,2000,11766,10,1985.3
G41,2000,11785,10,1952.1
G42,2000,11779,10,2048.2
G43,1000,9990,10,6394
G44,1000,9990,10,6380.9
G45,1000,9990,10,6391.3
G46,1000,9990,10,6356.4
G47,1000,9990,10,6404.2
G48,3000,6000,10,4909.2
G49,3000,6000,10,4890
G5,800,19176,10,11347
G50,3000,6000,10,4890.2
G51,1000,5909,10,3668
G52,1000,5916,10,3664.1
G53,1000,5914,10,3669
G54,1000,5916,10,3667.1
G6,800,19176,10,1879.6
G7,800,19176,10,1719.3
G8,800,19176,10,1728.5
G9,800,19176,10,1760.1
