Heuristic,Depth,Total_Games,Wins,Win_Rate_%,Avg_Move_Time_s,Std_Move_Time_s,Min_Move_Time_s,Max_Move_Time_s,Avg_Moves_Per_Game,Std_Moves_Per_Game,Min_Moves_Per_Game,Max_Moves_Per_Game
Orb Count,2,30,8,26.67,0.0049,0.0021,0.0019,0.015,51.7,6.7,42,69
Orb Count,3,30,14,46.67,0.0447,0.0286,0.0227,0.1638,53.2,13.8,39,105
Orb Count,4,30,20,66.67,0.1939,0.0811,0.1233,0.4532,59.0,18.8,41,137
Explosion Potential,2,30,18,60.0,0.0065,0.0014,0.0038,0.0093,54.7,13.4,39,94
Explosion Potential,3,30,16,53.33,0.0635,0.024,0.0288,0.1586,54.0,11.3,36,83
Explosion Potential,4,30,26,86.67,0.2884,0.0945,0.1769,0.6317,51.4,8.6,37,74
Strategic Evaluation,2,30,12,40.0,0.006,0.0013,0.0035,0.0092,52.8,8.6,36,73
Strategic Evaluation,3,30,26,86.67,0.0742,0.0363,0.0332,0.209,52.9,10.8,38,83
Strategic Evaluation,4,30,17,56.67,0.2521,0.1132,0.1349,0.6671,58.6,16.6,40,105
Threat Analysis,2,30,7,23.33,0.0089,0.0039,0.0063,0.0242,52.4,8.9,37,82
Threat Analysis,3,30,15,50.0,0.0619,0.0232,0.0339,0.1071,49.7,8.4,38,80
Threat Analysis,4,30,22,73.33,0.3698,0.1467,0.1999,0.8906,58.0,20.1,37,137
Tempo,2,30,0,0.0,0.0058,0.0022,0.0036,0.0162,43.4,5.1,34,56
Tempo,3,30,3,10.0,0.0279,0.0071,0.0187,0.0446,45.7,5.5,36,61
Tempo,4,30,2,6.67,0.1621,0.0595,0.1042,0.4532,43.0,5.5,34,57
Combined Strategy,2,30,14,46.67,0.0076,0.0021,0.0032,0.0123,53.8,12.2,39,94
Combined Strategy,3,30,24,80.0,0.0915,0.0283,0.0589,0.1762,52.3,13.5,34,101
Combined Strategy,4,30,26,86.67,0.2865,0.1082,0.1882,0.7588,54.6,10.6,34,79
